what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062723810
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306062816132
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306062820997
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062839173
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062841328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306062841583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306062849075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306062875415
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062876934
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062878595
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062881659
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062885066
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306062885582
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306062888088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306062907249
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306062913408
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306062913573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306062916725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306063000810
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306063020592
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306063043081
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306063043949
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306063044306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306063045127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306063054291
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306063058299
